normalized_substance_name,synonym
acetaminophen,acetaminophen
acetaminophen,paracetamol
acetaminophen,tylenol
acetaminophen,d000082
acetylcysteine,acetylcysteine
acetylcysteine,n-acetylcysteine
acetylcysteine,nac
acetylcysteine,mucomyst
acetylcysteine,d000111
acetylcysteine,c487056
alprazolam,alprazolam
alprazolam,xanax
alprazolam,d000525
amantadine,amantadine
amantadine,symmetrel
amantadine,amantadine hydrochloride
amantadine,d000547
armodafinil,armodafinil
armodafinil,nuvigil
armodafinil,d000077408
atomoxetine,atomoxetine
atomoxetine,strattera
atomoxetine,atomoxetine hydrochloride
atomoxetine,d000069445
atomoxetine,c0076823
citalopram,citalopram
citalopram,celexa
citalopram,d015283
coenzyme q10,coenzyme q10
coenzyme q10,coq10
coenzyme q10,ubiquinone
coenzyme q10,ubiquinone-10
coenzyme q10,c024989
coenzyme q10,c026663
creatine,creatine
creatine,d003401
curcumin,curcumin
curcumin,turmeric extract
curcumin,curcuma longa
curcumin,d003474
cyclophosphamide,cyclophosphamide
cyclophosphamide,cytoxan
cyclophosphamide,d003520
dexamethasone,dexamethasone
dexamethasone,decadron
dexamethasone,d003907
dextromethorphan,dextromethorphan
dextromethorphan,dxm
dextromethorphan,d003915
donepezil,donepezil
donepezil,aricept
donepezil,d000077265
duloxetine,duloxetine
duloxetine,cymbalta
duloxetine,d000068736
escitalopram,escitalopram
escitalopram,lexapro
escitalopram,d000089983
filgrastim,filgrastim
filgrastim,neupogen
filgrastim,d000069585
fingolimod,fingolimod
fingolimod,gilenya
fingolimod,d000068876
fingolimod,fingolimod hydrochloride
glatiramer acetate,glatiramer acetate
glatiramer acetate,copaxone
glatiramer acetate,d000068717
hydrocodoneapap,hydrocodone apap
hydrocodoneapap,vicodin
hydrocodoneapap,c083640
hydrocodoneapap,acetaminophen + hydrocodone
hydrocodoneapap,anexsia
hydrocodoneapap,co-gesic
hydrocodoneapap,lorcet
hydrocodoneapap,lortab
hydrocodoneapap,norco
hydrocodoneapap,zydone
icosapent ethyl,icosapent ethyl
icosapent ethyl,vascepa
icosapent ethyl,epadiolex
icosapent ethyl,c035276
immunoglobulin,immunoglobulin
immunoglobulin,ivig
immunoglobulin,d007136
inosine,inosine
inosine,d007288
insulin,insulin
insulin,d007328
lipoic acid,lipoic acid
lipoic acid,alpha lipoic acid
lipoic acid,ala
lipoic acid,thioctic acid
lipoic acid,d008063
lithium,lithium
lithium,d008094
lithium carbonate,lithium carbonate
lithium carbonate,d016651
memantine,memantine
memantine,namenda
memantine,d008559
metformin,metformin
metformin,glucophage
metformin,d008687
methylphenidate,methylphenidate
methylphenidate,ritalin
methylphenidate,concerta
methylphenidate,d008774
midazolam,midazolam
midazolam,versed
midazolam,d008874
minocycline,minocycline
minocycline,d008911
modafinil,modafinil
modafinil,provigil
modafinil,d000077408
montelukast,montelukast
montelukast,singulair
montelukast,c093875
mycophenolate mofetil,mycophenolate mofetil
mycophenolate mofetil,cellcept
mycophenolate mofetil,d009173
omega-3 fatty acids,omega-3 fatty acids
omega-3 fatty acids,fish oil
omega-3 fatty acids,epa
omega-3 fatty acids,dha
omega-3 fatty acids,d015525
omega-3 fatty acids,docosahexaenoic acid
omega-3 fatty acids,d004281
oxaloacetate,oxaloacetate
oxaloacetate,d062907
pramipexole,pramipexole
pramipexole,mirapex
pramipexole,d000077487
prednisone,prednisone
prednisone,d011241
quinidine,quinidine
quinidine,d011802
ramipril,ramipril
ramipril,altace
ramipril,d017257
rasagiline,rasagiline
rasagiline,azilect
rasagiline,c031967
rifaximin,rifaximin
rifaximin,xifaxan
rifaximin,d000078262
riluzole,riluzole
riluzole,rilutek
riluzole,d019782
rivastigmine,rivastigmine
rivastigmine,exelon
rivastigmine,d000068836
simvastatin,simvastatin
simvastatin,zocor
simvastatin,d019821
sirolimus,sirolimus
sirolimus,rapamune
sirolimus,d020123
solifenacin,solifenacin
solifenacin,vesicare
solifenacin,d000069464
solifenacin,solifenacin succinate
tauroursodeoxycholic acid,tauroursodeoxycholic acid
tauroursodeoxycholic acid,tudca
tauroursodeoxycholic acid,ursodeoxychol taurine
tauroursodeoxycholic acid,ursodeoxycholic taurine
tauroursodeoxycholic acid,c031655
telmisartan,telmisartan
telmisartan,micardis
telmisartan,d000077333
triheptanoin,triheptanoin
triheptanoin,c531010
valproic acid,valproic acid
valproic acid,depakote
valproic acid,divalproex
valproic acid,d014635
varenicline,varenicline
varenicline,chantix
varenicline,d00006858
venlafaxine,venlafaxine
venlafaxine,effexor
venlafaxine,d000069470
vitamin d,vitamin d
vitamin d,cholecalciferol
vitamin d,ergocalciferol
vitamin d,d004872
vitamin d,d002762
vitamin d,d014807
warfarin,warfarin
warfarin,coumadin
warfarin,d014859
zolpidem,zolpidem
zolpidem,ambien
zolpidem,d000077334
ampreloxetine,ampreloxetine
ampreloxetine,c000601820
arimoclomol,arimoclomol
arimoclomol,c486387
auto-m-bfs,auto-m-bfs
avp-923,avp-923
azd,azd
melatonin,melatonin
melatonin,circadin
melatonin,d008550
buntanetapposiphen,buntanetapposiphen
buntanetapposiphen,buntanetap
buntanetapposiphen,posiphen
buntanetapposiphen,anvs-401
busulfan cyclophosphamide antithymocyte globulin,busulfan cyclophosphamide antithymocyte globulin
busulfan cyclophosphamide antithymocyte globulin,atg
cilostazol,cilostazol
cilostazol,pletal
cilostazol,d000077407
ck-2017357,ck-2017357
ck-2017357,c572767
ck-2017357,tirasemtiv
latrepirdine,dimebon
latrepirdine,c010119
droxidopa,droxidopa
droxidopa,northera
droxidopa,d015103
ibudilast,ibudilast
ibudilast,c038366
incobotulinum toxin a,incobotulinum toxin a
incobotulinum toxin a,xeomin
incobotulinum toxin a,c545476
incobotulinum toxin a,botulinum neurotoxin type a
incobotulinum toxin a,bont/a
incobotulinum toxin a,bont-a
intepirdine,intepirdine
intepirdine,rvt-101
intepirdine,sb-742457
interferon,interferon
interferon,avonex
interferon,betaseron
interferon,rebif
interferon,interferon beta-1a
interferon,d000068556
interferon,d000068576
interferon,interferon beta-1b
ionis maptrx,ionis maptrx
ionis maptrx,biib080
ionis maptrx,ionis-maptrx
ipx203,ipx
ipx203,ipx203
isosorbide mononitrate,isosorbide mononitrate
isosorbide mononitrate,ismn
isosorbide mononitrate,c030397
laquinimod,laquinimod
laquinimod,c476223
lubiprostone,lubiprostone
lubiprostone,amitiza
lubiprostone,d000068238
melphalan,melphalan
melphalan,d008558
mt-1186,mt-1186
botulinum toxin type b,myobloc
botulinum toxin type b,botulinum toxin type b
botulinum toxin type b,rimabotulinumtoxinb
botulinum toxin type b,c096323
neflamapimod,neflamapimod
nelotanserin,nelotanserin
nelotanserin,c546600
nuedexta,nuedexta
nuedexta,dextromethorphan hydrobromide and quinidine sulfate
nuedexta,avp-923
nuedexta,dxm/quinidine
onabotulinumtoxin a,onabotulinumtoxin a
onabotulinumtoxin a,botox
onabotulinumtoxin a,vistabel
onabotulinumtoxin a,vistabex
onabotulinumtoxin a,d019274
pimavanserin,pimavanserin
pimavanserin,c510793
pimavanserin,nuplazid
posiphen,posiphen
pridopidine,pridopidine
pridopidine,c483720
pridopidine,huntexil
pridopidine,acr16
reldesemtiv,reldesemtiv
reldesemtiv,c000722562
reldesemtiv,ck-2127107
safinamide,safinamide
safinamide,c092797
safinamide,xadago
sage-718,sage-718
scopolamine,scopolamine
scopolamine,hyoscine
scopolamine,d012601
suvorexant,suvorexant
suvorexant,belsomra
suvorexant,c551624
tirasemtiv,tirasemtiv
tirasemtiv,ck-2017357
tirasemtiv,c572767
verdiperstat,verdiperstat
yokukansan,yokukansan
yokukansan,yi-gan san
yokukansan,c524644
yokukansan,yokukan-san
